Description - Program titles - any/all other information written out on tape label, N
Comp (Sun/Mon Overnite) (BookTV), 2
Comp (BookTV 8 AM), 2
Comp BookTV (Sat), 2
Comp (Sat) (BookTV), 2
Comp (8AM BookTV), 2
Comp Overnite Bot, 2
Overnite Top, 2
Comp (Sat) Top, 2
News; Lehrer; NBI (?), 2
News; Lehrer; NBR; Nite Line; Pol Line, 2
Easter Sun, 2
(BOOK TV) (SAT/SUN) OVERNITE, 2
COMP, (BOOK TV) (SUN), 2
2008 CAMPN (FRI), 2
2010, (THURS), 2
2010, (SAT), 2
SUN/MON OVERNITE, 2
COMP (FRI), 2
OVERNITE (FRI/SAT), 2
(SAT) BOT 10 PM, 2
TOP 10PM, 2
MS, 2
HOL, 2
REPUB CONV, 2
PRES ELECTION RETURN, 2
TELECOURSES (SAT), 2
TELECOURSES (SUN), 2
TELECOURSES, 7 AM, 2
BookTV (SAT), 2
BookTV ; (Sat), 2
BookTV; (Sun), 2
2008 PRIMARY ; (SAT), 2
(Sun/Mon) ; Over Nite, 2
Docu ; Gen'l Hospital ; Phil ; Oprah, 2
COMP I Daily Show, 2
News B3, 2
2008 Prim PA (Sun), 2
2008 Primary Daily Show, 2
2008 PRIM (SAT), 2
"OVERNITE", 2
BOOK TV SAT, 2
5.0, 2
POLITICALLY INCORRECT, 2
OJ NEWS / GERALDO, 2
(fri/ sat) overnite, 2
Top 2pm, 2
Comp; bot 2pm, 2
misc, 2
Sat BOT, 2
BOT, Sunday, 2
Star Trek the Next Generation, 2
Computer Chronicles, 2
2008 ELECT (TUE), 2
2008 CAMPN, (THU), 2
THE DAILY SHOW, 2
DAILY SHOW JON STEWART, 2
COMP, 11 PM, 2
COMP OVERNITE, 2
COMP, MSNBC, 2
(SAT/SUN) OVERNITE (BOOK TV), 2
(SAT) 2008 CAMPN, 2
2008 CAMPN, (TUES), 2
2008 CAMPN (WED), 2
SUNDAY, REP CONV, GUSTAV, 2
INAUGURATION (TUE), 2
INAUG, 2
SENATE ON JUDGES, 2
2008 ELECT (WED), 2
2008 ELECT, (FRI), 2
2008 ELECT, (THU), 2
2008 ELECT, (MON), 2
2008 ELECT, (WED), 2
MICHAEL JACKSON (DIES) 2009 (THURS), 2
(maybe says (sat) ), 2
(maybe says (sun) ), 2
NEWS + Good Day, 2
NEWS, (illegible), 2
GENERATIONS, 2
NEWS, NBR, 2
Michael Lehrer, 2
Nite Line, 2
News, Lehrer, NBR, Lehrer, NBR, Lehrer, NBR, Lehrer, NBR, 2
COMP, Ashcroft H., 2
NEWS, Lehrer, NBR, Lehrer, NBR, Lehrer NBR, Wash Wk, Wall St. WK, 2
NEWS-11PM, 2
BRIT COMS - AS TIME GOES BY, 2
BOOKNOTES, 2
(SAT); (SUN), 2
Misc., 2
Lehrer, NBR, 2
Shuttle, 2
COMP 65, 2
APPLE, 2
OJ NEWS; (illegible), 2
OVERNITE, (SAT/SUN), 2
Apple earnings [illegible], 2
NSDQ 4000!, 2
Drama; Sliders | X-Files, 2
Comedy NBC-10, 2
NSDQ [illegible], 2
Friends, 2
6 hrs, 2
(ILLEGIBLE), 2
ECL, 2
(BOOK TV) SUN, 2
2008 CAMPN; DEM CONV; HILLARY, 2
(FRI/SAT); OVERNIGHT, 2
DIALLO VERDICT, 2
TEXAS PRISON SYSTEM, 2
FLA SUPR COURT, 2
NEW YEARS EVE, 2
LEHRER//NBR/ WORK WK/ WALL ST WK; LEHRER; NBR, 2
SUNDAY MORNING; MEET THE PRESS; FACE THE NATION; (Illegible), 2
MSFT, 2
THIS WEEK, 2
NEWS; LEHRER; NBR; LEHRER; NBR; LEHRER; NBR (Illegible), 2
(sun) 3pm, 2
About books, 2
Microsoft breakup, 2
General hospital; general hospital/ dynasty/ general hospital/ dynasty, 2
News pm, 2
#1, 2
#2, 2
2008 campn (fri), 2
2008 PRIMARIES (SAT), 2
2008 PRIM (SUN), 2
2008 CAMPN, (FRI), 2
COMP, (HOL), 2
COMP, (FRI / SAT) OVERNITE, 2
(SAT / SUN) OVERNITE, 2
(illegible), (SUN), 2
EASTENDERS, 2
DRAMA, 2
COMPUTERS, 2
COMPUTERS / MEDIA, 2
Olympics -76', 2
UFO, 2
James at 15, 2
Juliard Jazz Quintet 1/2 Hr | Here to mkae music The Trout 1 HR, 2
HOLOCAUST ?, 2
HOLOCAUST, 2
(SUNDAY) TOP, 2
SUNDAY OBAMA TRIP, 2
(MON) (8HR), 2
(FRI) 6HRS, 2
WED 6HR, 2
2008 PRIM (MON), 2
Daily show- john stewart, 2
(mon) (6hr), 2
(mon) 6hrs, 2
(tues) 6hrs, 2
(6hr), 2
(THURS) 6HRS, 2
2008 CAMPN (TUES), 2
Fri, 2
Election (Wed), 2
Election (Tues), 2
Election + (Sat), 2
JACKSON VERDICT, 2
COMP 3PM, 2
NEWS (Sat), 2
NEWS (Sun) 3PM, 2
COMP Tech TV, 2
News PBS-12 Lehrer | NBR | Wash Wk | Wall St Wk, 2
COMP TOP, 2
(THU) ; 6HR, 2
NEW YEAR'S EVE ; (FRI) ; 6HRS, 2
2009 ; (FRI) ; CHRISTMAS DAY, 2
(FRI/SAT) ; OVER NITE, 2
SOAP, 2
Comedy Central- Daily Show- SUN St...illegible, 2
OVER NIGHT, 2
MAC EXPO, 2
0.6277777777777778, 2
BOOK TV (CONT'D) (SAT), 2
Comp | BOT, 2
top, 2
BLACK ADDER, 2
CNN-FN, 2
Book TV (Cont'd), 2
25th Anniv Call-ins, 2
2008 ELECT; (FRI), 2
2008 ELECT; (MON), 2
Brit-Coms, 2
(Son), 2
WED; 8hr, 2
(MON); 6hr, 2
Tues; 8 hr, 2
Tue; 8hr, 2
(Mon); 6hr, 2
EAST ENDERS MARATHON, 5 AM, 2
22 The Daily Show, 2
SHUTTLE, 2
FBI RIGOR, 2
(Thurs) 2009, 2
(Wed) Sen. Kennedy Dies 2009, 2
(Mon) 2010, 2
NEWS, LEHRER, NBR, 2
T-COMP, 2
COMP; OVERNITE, 2
(???), 2
(Arafat Funeral), 2
2010; (WED), 2
AUTO-HEARING, 2
HOLIDAY (MON), 2
NEWS LERST; LERST; NBR;COMEDY LEHRER; W???; W???, 2
Dem Debate, 2
Comedy Central Daily Show John Stewart, 2
FBI lab report, 2
Tiger Woods, 2
2008 Campn ; (Sat), 2
News ; Lehrer | NBR | NL | PI, 2
News ; Lehrer | NBR | Wash Wh | Wall St Wh, 2
News ; PBS-12 Lehrer | NBR | Wash Wh | Wall St Wh ; ABC 6(5) Nite Line, 2
News ; PBS-12 Lehrer | NBR ; ABC-6(5) NL | PI, 2
BBC, 2
SIMPSONS, 2
KING OF QUEENS, 2
BRITISH COMEDY, 2
2008 CAMPN (Mon), 2
Cloning, 2
Comedy ABC-6, 2
(Sat) 4PM, 2
COMEDY / [illegible], 2
[unmarked tape], 2
(over nite), 2
Lehrer NBR (x3), 2
2008 PRIM WVA, 2
2008 PRIM (FRI), 2
OLYMPICS, 2
MSFT BREAKUP, 2
0.3472222222222222, 2
GORE CONCEDES, 2
2008 PRIM., 2
MID EAST CRISIS, 2
BARAK DEADLINE, 2
2008 CAMPN Sat, 2
2008 election (sat), 2
2008 election (fri), 2
COMP (sun), 2
2008 Primaries (sat), 2
Nev/sc prim. (sat), 2
2008 Primaries (sun), 2
East enders, 2
Unlabeled tape, 2
2008 Prim; joe, 2
Sunday; 2008 prim, 2
COMP-B; 10:30pm, 2
Sunday (?), 2
COMP-B; Daily show, 2
COMP; daily show, 2
COMP Scarb., 2
(Mon) 6hr, 2
COMP, (BOOK TV) (SAT), 2
0.6298611111111111, 2
NEWS, NL PI, 2
0.5486111111111112, 2
0.5729166666666666, 2
SUNDAY MORNING, NBC 10 MEET THE PRESS, 2
(SUN) Book TV, 2
COMEDY - THIRD ROCK, 2
(Sun)?, 2
(Sat) Bot, 2
(Sun) Bot, 2
Sheep Cloned, 2
9|10, 2
iPhone All Day, 2
COMPUTERS/MEDIA, 2
6pm|, 2
Boon TV, 2
Nite Line, Politically Incorrect, 2
Politically Incorrect, Niteline, 2
LABEL MISSING, 2
Bush, 2
Book TV, [illegible], 2
(Sat/Sun), Overnite, Book TV, 2
Book TV, (Sun), 2
Kosovo, 2
Clinton [illegible], 2
Sunday Morning, Face the Nation, 2
Sunday Morning, Face the Nation, This Week, 2
Sunday Morning, Sunday, Face the Nation, This Week, 2
Rep. Debate, 2
COMP [illegible] US Threat, 2
COMP, Countdown, 2
COMP ECL, 2
(Fri/Sat), Overnite, 2
BOOK TV (Sunday), 2
SAT/SUN OVERNITE BOOK TV, 2
BOT (SAT), 2
BOT, 2 PM, 2
UNMARKED TAPE, 2
(Book TV) (Sat/Sun) Overnite, 2
(8AM - Book TV), 2
0.675, 2
Geraldo (Sat), 2
3.0, 2
Equal Time, 2
CNNFN 3PM | MSNBC 5PM, 2
0.9736111111111111, 2
Sat/Sun Overnite ; BookTV, 2
Comp 7-?-01 (Sunday 7/22?), 2
Comp ; (Sat) (BookTV), 2
0.052083333333333336, 2
Brit Coms - Good Neighbors PBS-12, 2
(Sat/Sun) Overnite ; BookTV, 2
Over Nite (Fri/Sat), 2
(Holiday), 2
OJ News [illegible], 2
Telecourse, 2
Comp (Sun/Mon) Overnite, 2
Comedy (Sat/Sun) Sat Nite Live, 2
0.21875, 2
(Sun) 3PM, 2
Comedy ; 3rd Rock, 2
0.4583333333333333, 2
0.4722222222222222, 2
News; 11PM, 2
News (Over-Night) 7AM, 2
News ; 8AM, 2
Overnite ; 6AM, 2
News ; 4PM, 2
News ; 6PM, 2
News ; 10AM, 2
0.8020833333333334, 2
News : Nightline / Politically Incorrect ABC-6, 2
(Sun-Mon) Overnite, 2
(Mon) 8HR, 2
Sat., 2
6 PM → 10 PM →, 2
(SUN) 7 PM, 2
O'REILLY, 2
COMP, CNBC, 2
COMP, OVERNITE, 9-28-01, 2
TALK BACK, 2
0.5277777777777778, 2
7? 00 or 01, 2
6 PM → 10 PM, 2
?  ?  00 or 01, 2
BOOK TV, SAT/SUN OVERNITE, 2
COMEDY, FRIENDS, 2
6 PM →, 2
(WED) (6 HR), 2
(FRI) 8 HR, 2
COMP, 8 PM, 2
COMP, APPLE EARNINGS, 2
WED 8 HR, 2
WED, 8 HR, 2
DEM. CONV, 2
(SUN) 2 PM, 2
NEWS, 7 AM, 2
NEWS, MCNEIL LEHRER?, 2
NEWS '91, 2
0.8854166666666666, 2
BOOK TV, 10 AM, 2
COMEDY, TOOL TIME, 2
0.78125, 2
TUE 8 HR, 2
MON 6 HRS, 2
TUE, 6 HR, 2
UP W/ HAYES, (SAT) 8 HR, 2
(SUN) 6 HRS, 2
DOJ/MS, 2
NEW YR'S EVE, 2
THURS, 6 HR, 2
THURS, 8 HR, 2
(SAT) 6 HR, 2
WISCONSIN + (SUN) 6 HR, 2
TUES. 6 HR, 2
SUN 6 HRS, 2
2008 ELECT, 7 AM, 2
CNN LIFE ON MARS, MISC, OJ NEWS, GERALDO GRODIN DR KERVONKIN, 2
Food Network, 2
Thurs., 2
(Wed) 8hrs, 2
(Tue) 6HR, 2
News ; 1:00 PM, 2
0.8402777777777778, 2
News ; 9AM | Donahue, 2
Comp DW, 2
(Fri) 6HRS, 2
Mon 6hrs, 2
(Fri) 6hr, 2
Thur ; 6hr, 2
Tues ; 6hr, 2
Election+ Deal? (Sat) 6HR, 2
BookTV ; Sat, 2
X, 2
(Sun/Mon) Over Nite (BookTV), 2
(Sat) ; Top, 2
ECL (Mon), 2
Comp ; Gaza Pullout, 2
Mon (8hr), 2
New Congress (Fri) 6HR, 2
Comedy ; King of Queens, 2
Thurs. 6hrs, 2
(Sat) (6hr), 2
Sat 6hrs, 2
(Sat/SUn) Over Nite, 2
SAT/SUN, OVER NITE, 2
COMP, FRI/SAT, OVERNITE, 2
HARDBALL, 2
0.3680555555555556, 2
TOP, 6 PM, 2
BBC, BOT, 2
TOP, 2 PM, 2
SUN, BOT, 2
OVERNITE, ?, 2
TECH TV, (SAT), 2
(MON) BOT, 2
N. H. PRIMARY, 2
2008 PRIMARIES, (FRI), 2
NEW HAMPSHIRE PRIMARY, 2
COMP, 6 PM, 2
SHERROD FIRED, (WED), 2
(THURS) SENATOR BYRD FUNERAL, 2
COMP, FRI/SAT OVERNITE, 2
COMP, SAT/SUN OVERNITE, 2
COMP, SUN, 2
Comp ; (Sun) ; Bot, 2
Comp ; (Sun) ; (BookTV), 2
(Sat) (8AM - BookTV), 2
Comp ; (Sat) BookTV, 2
9PM || 11PM, 2
News - Niteline / Politically Incorrect ABC-6, 2
11:30 PM |, 2
0.6333333333333333, 2
|| 5PM, 2
Comp ; TechTV (Sat), 2
8PM ||, 2
Sat/Sun Over Nite BookTV, 2
(Sat/Sun) Overnite 7AM, 2
News - Nightline / Politically Incorrect [on each date], 2
Iowa Caucuses, 2
Daily Show - John [sic] Stewart, 2
Comp ; Nick At Nite, 2
Comedy ; Nick At Nite, 2
BookTV 8AM (Sat), 2
6PM | 8PM | 12M, 2
Drama ; Northern Exposure, 2
2008 Prim 7AM, 2
2008 Prim (Thu), 2
Rituals [each date], 2
Rituals, 2
Reilly, 2
Fri (8hr), 2
News 4:00 PM, 2
News (Tues), 2
News 3:45 PM, 2
News (Wed), 2
Meet The Press, 2
Upstairs Downstairs, 2
News Oprah | McNeil Lehrer, 2
News Oprah, 2
Phil | Oprah [each date], 2
News ; #1, 2
Comedy ; Perfect Strangers, 2
Brit Coms - Keeping Up Appearances, 2
(Sat) 3:10 PM, 2
BookTV Sat/Sun Overnite, 2
News - Nightline / Politically Incorrect ABC-6 [each date], 2
News | Donahue, 2
News #1 NBC AM | McNeil Lehrer, 2
Sunday ; 3PM, 2
Comedy ; Brothers 8-14 || 8-18 Parker Lewis Park Side ; Sun, 2
8PM | 11PM, 2
Gen'l Hospital | Phil | Oprah, 2
2008 Prim ; Joe, 2
(Fri)(6hr), 2
(Wed)(6hr), 2
Comp ; Daily Show 7AM, 2
Comedy ; Too Close For Comfort | All In The Family [for each date], 2
Donahue, 2
(Thu) 6hr, 2
(Sat) 6hr, 2
News ; 3:30 PM, 2
0.6368055555555555, 2
0.9722222222222222, 2
Comp ; 7PM, 2
Comp-B (Sun), 2
Senate/War, 2
Rituals / Soap, 2
Rituals / Soap [each date], 2
Comp PM, 2
Sunday ; Meet The Press, 2
6PM | 9PM, 2
Docu NOVA, 2
Oct/Nov 91 ?, 2
10PM |, 2
0.3020833333333333, 2
[question marks by day of date and start time], 2
7AM |, 2
News #2 McNeil Lehrer, 2
News #3, 2
(Sat) 11:30 PM, 2
News #1 Ch 4 NBC AM, 2
News ; Hurricane Gloria, 2
(Sat) 5PM, 2
Comp ; 6:30 PM, 2
BookTV (Cont'd), 2
The Waltons [both dates], 2
News (Easter Sunday) 3PM, 2
Comedy; perfect strangers/ head of the class/ hooperman/ slap maxwell/ dynasty, 2
Comedy; who's the boss/ growing pains/ moonlighting/ thirtysomething, 2
News #1 am/ good day, 2
News #1/ nbr, 2
News; 5pm, 2
News; 10pm, 2
News; (4pm), 2
Sunday , 2
Docu phil oprah, 2
News ch 7 cbs am/ ch 7 cbs am, 2
Docu; gen'l hospital/ phil/ oprah, 2
News; nbc/ 4, 2
News; nbc/4, 2
News fnn......, 2
News fnn 11:30 am, 2
News fnn 11:30pm, 2
News fnn 11:30a, 2
News/ donahue, 2
Fnn, 2
Docu/ gen'l hospital/ phil/ oprah, 2
News fnn 4p, 2
News nbc/4 am, 2
News #1 ch 4 nbc am/ 10pm, 2
News nbc ch 4 am, 2
News fnn 10pm, 2
Sunday cbs ch 7 kuralt, 2
News nbc/ ch 4 am, 2
6PM | 10PM | 11:35 | X, 2
News / Docu, 2
News ; 10:30 PM, 2
Comedy ; Benson | Webster, 2
(Sat) | 8AM (BookTV), 2
(8AM BookTV), 2
News ; 7AM |, 2
New iPods, 2
News (?)[next to date], 2
News ; Summit ; 3PM, 2
News (Sun) 7PM, 2
Comp ; Monica, 2
Comp ; Niteline, 2
Comp ; MAC Expo, 2
Comp ; Impeach Vote, 2
[illegible label] B-2, 2
4PM ||, 2
Oprah [illegible], 2
News PBS-12 Lehrer | NBR | ABC-6, 2
News PBS-12 Lehrer | NBR |, 2
News NBC 3 1PM, 2
Sunday ABC-6 News | This Week, 2
NEWS; LEHRER; NBR, 2
News PBS-12 Lehrer | NBR | Wash Wk | Wall St Wk | ABC-6 News | Nite Line, 2
News PBS-12 Lehrer | NBR | ABC-6 Football | Nite Line, 2
News PBS 12 Lehrer | NBR | Wash Wk | Wall St Wk | ABC-6 Nite Line, 2
Bill Moyers - New - PBS 12 [each date], 2
Sunday Kuralt | Face The Nation, 2
News PBS 12 Lehrer | NBR | ABC 6 Football | News | Niteline, 2
News Niteline, 2
News (Sat) 1AM, 2
(SAT/SUN); OVER NITE, 2
Sunday | This Week, 2
Impeach, 2
News 9|, 2
Sunday Kuralt | Boston Common | Face The Nation, 2
News 9A, 2
Comedy Empty Nest | Nurses | Sisters | News | Sat Nite Live | Comedy Showcase, 2
Are You Being Served? [both dates], 2
News Bush VFW, 2
Million Man March, 2
News 1990 (Jan?), 2
0.14583333333333334, 2
(Comp), 2
Comp 9:30, 2
Comp B (Sun/Mon) Over Nite, 2
Comp B (Sun), 2
(Comp B) (Sun), 2
Comp (Sun) Fox News, 2
iPhone 6PM, 2
50 (Sat), 2
Rita, 2
Comp 8PM Bot, 2
6PM Top, 2
Comp ; O'Reilly, 2
Comp ; Imus Fired! 8PM, 2
Comp ; 3PM, 2
Comp (Sun) 7PM, 2
Sunday | Meet The Press, 2
Book TV (Sat/Sun) Over Nite, 2
Comp (Wed), 2
0.6423611111111112, 2
CHINA, 2
| 8AM (BookTV) (Sat), 2
8AM (BookTV), 2
8PM || 10PM, 2
OJ Simpson, 2
[illegible label], 2
News 12N, 2
News Nite Line, 2
Educ-Doc OJ Simpson, 2
Educ ? (Mar-Jul '94), 2
Friday, 2
Mon ABC AM News, 2
Thu, 2
News 9AM, 2
NEWS; NBC AM News (#1), 2
NBC AM News; ABC PM News;, 2
News - 1PM, 2
News 4:30, 2
News 4P, 2
News [label covered], 2
News (Sun) 2PM, 2
News (Sun) Utley | Meet The Press, 2
Simpson Trial 6PM, 2
Sunday - Sunday Morning | News | McL Grp | Face The Nation, 2
Sunday ; Sunday Morning | News | McL Group | Face The Nation, 2
New ?, 2
Comedy Friends, 2
Comedy Mad About You, 2
Sunday Meet The Press, 2
News Lehrer | Group | Served | Wash Wk | Wall St Wk, 2
0.22916666666666666, 2
Waco Hearings, 2
OJ / DNA 7:30 P, 2
OJ 6PM, 2
Educ ? Apr - Nov '94, 2
? 1994-1995, 2
Diana, 2
News Pt 1, 2
Iran News B-3, 2
News Reagan News Conf, 2
News (Sat) 3:30 PM, 2
Sunday ABC-6 Good Morning America | CBS-10 Kuralt | Face The Nation | PBS-12 McL Group | Firing Line, 2
All Creatures Great And Small, 2
News Dec '89 or Jan '90, 2
News (Fri) 4PM, 2
News (Sat) 7:30 PM, 2
OJ 5PM, 2
News & Monitor, 2
News Monitor, 2
News (Sunday) 1PM, 2
OJ News - Geraldo, 2
Sunday #1, 2
Comp NH Primary, 2
(Sat-Sun) Overnite, 2
11-?-00 ? BookTV ?, 2
Comp-B Talk Back, 2
? ? 01 or 02, 2
? ? 00, 2
Comedy ?, 2
Comp (Sun) 7AM, 2
Comp 5AM, 2
Comp (Sat) 7AM, 2
Comp 11:15 PM, 2
Comp Democracy Now 3AM, 2
Comp O'Reilly 7AM, 2
Comp Sat, 2
Comp 11AM, 2
0.3194444444444444, 2
News NL | PI, 2
Comp Feb '02 (?), 2
(BookTV) (Hol), 2
Sunday Meet Press, 2
(8AM BookTV) (Sat), 2
Comp B ?, 2
Comp ECL, 2
(Sat) 11:10 PM, 2
Comp (Sat) (Sun), 2
Millenium (Sun), 2
Misc [illegible], 2
Human Cloning, 2
News PBS-2 McNeil Lehrer | The Group | Being Served? [each date], 2
News (Sun) 8PM, 2
News Sunday, 2
News #4, 2
Overnight 7AM, 2
News 8AM, 2
Overnite 4AM, 2
(Easter), 2
? ? 00 or 01 ?, 2
News 11:00 PM, 2
News 2:15 AM, 2
News (Tues) 1:00 AM, 2
News Donahue, 2
Comp Dot.Com (Sat), 2
Comp 12:30 AM, 2
0.2708333333333333, 2
Comp Bloomberg, 2
News (Sun) 10PM, 2
News Oct/Nov '91 (?), 2
News McNeil Lehrer, 2
Comp Daily Show BBC/DW[sic] 7:30AM, 2
OJ 8PM, 2
OJ Verdict, 2
News | Ent Tonite, 2
37408.0, 2
News 9| Donahue | AM Phila | Sally, 2
News 3:30AM, 2
News 7:30PM, 2
News 11AM, 2
WTO, 2
News 1PM | 9PM 11PM, 2
News (May '91), 2
News (Mon, Hol) 3PM, 2
News MacNeil Lehrer | NBR, 2
News Over Nite 7AM, 2
Sunday - Utley | Meet The Press, 2
News 8|, 2
Sunday - Kuralt, 2
News Sat, 2
News (#2), 2
News (Sunday), 2
News (Hol) 11PM, 2
News ? 3PM, 2
News (Overnite) 5AM, 2
News | Donahue | AM Phila | Salley[sic], 2
News Sat/Sun Overnite 7AM, 2
News Sunday 11PM, 2
News (Elections) 7AM, 2
News [illegible end time], 2
News 1AM-7AM, 2
SP, 2
News Iraq Pullout 9PM, 2
Comp 2AM Bot, 2
G20 London (Wed), 2
Comedy - Sat Nite Live, 2
Sunday - Sunday Morning | News | McL Group | Face The Nation, 2
News McNeil Lehrer | The Group | Being Served? | Wash Wk | Wall St Wk, 2
Comedy | Sat Nite Live, 2
BookTV/C-Span 2 Helen Calderio (Sun), 2
Comp Sun, 2
0.63125, 2
NSDQ New Hi, 2
(Sun) Comp, 2
Monica, 2
Comp Apple Up, 2
Comp 5:30 PM, 2
Comedies - Monty Python [each date], 2
[sic]ver Journey + Save [illegible], 2
Comrades 1Hr [illegible] | Comrades 1Hr Soldier | 45 Min Left on Tape, 2
News 4AM, 2
Princess Di Funeral, 2
8:30 |, 2
Feb '96 (?), 2
MIsc, 2
Larry King Live, 2
News PBS-2 Lehrer | Group | Served? [each date], 2
Simpson / Luggage 7PM, 2
OJ 7PM, 2
E OJ | CNBC Geraldo OJ, 2
Okla PM, 2
(Overnite) 3AM, 2
News - McNeil Lehrer | NBR, 2
News Oprah | McNeil Lehrer | NBR, 2
News Sun, 2
News World Report, 2
News (Sun) World Report, 2
Misc 4:30 PM, 2
Comp 11PM Bot, 2
Top 3PM, 2
Comp 7:30 PM Bot, 2
Comp Mars (Live) Bot, 2
Comp 7AM Bot, 2
Comp PM Bot, 2
Comp MSRx Bot, 2
BookTV (Sun) 11PM, 2
Drama - East Enders 1|2 [each date], 2
Daily Show - Jon Stewart [each date], 2
Comp 6PM Bot, 2
Fri 6hrs, 2
Mon (6hr), 2
Tue 6hrs, 2
Up w/ Hayes (Sat) 8hr, 2
Comp Holiday (Mon), 2
Comp New Year's Day (Sun), 2
Comp Alito Hearings, 2
Comp 5PM, 2
Comp (Sat) 10PM Bot, 2
Comp (Sat) 2PM Bot, 2
(Sun/Mon), 2
Katrina (Sun), 2
Comp Enron, 2
News PBS-12(11) Lehrer | NBR ABC-6(5) Niteline, 2
6PM | 8:00 PM, 2
Comp ? (Sun), 2
News 11-13 ABC/6 7AM 9| Donahue | 11-14 ABC/6 7AM 9 | Donahue, 2
10:30 PM Top, 2
Sunday Prim, 2
Google, 2
Comp TechTV 8PM, 2
TechTV, 2
I'll Fly Away, 2
Dr. Quinn Medicine Woman [each date], 2
Northern Exposure [each date], 2
Young Indiana Jones [each date], 2
News PBS-12 Lehrer | NBR [each date], 2
Comedy True Colors | Parker, 2
Comedy - Too Close For Comfort | All In The Family [each date], 2
Comedy Too Close For Comfort | All In The Family [each date], 2
Comedy All In The Family [each date], 2
News Arab/Israel Peace Agreement Follow-Up 11PM, 2
News X 3PM, 2
News 8:30 P, 2
News fnn 3pm-10pm, 2
News/ 7am  3pm, 2
News Ch 4 NBC AM, 2
Sunday ABC-6 Good Morning America | CBS-10 Kuralt | Face The Nation | PBS-12 To The Contrary | Tony Brown | TV Rights | PA Game | McL Group | Firing Line, 2
News 6-? CNN ? C-Span, 2
| 8AM (BookTV), 2
8:00 AM (BookTV) (Sat), 2
Denis Win, 2
Comp Tucker 7AM, 2
Comp Cheney Intv., 2
Comp Total Solar Eclipse, 2
Coretta King Funeral, 2
Comp Hilary, 2
OSCARS, 2
TOP (Sun), 2
Comp, Bottom, 2
Auto Hearing, 2
Illegible., 2
Book TV, Sat, 2
COMP, Gibson, 2
"(HGL)" ?, 1
"Fri/Sat OVER NITE", 1
(Fri/Sat) OVERNIGHT, 1
(Sun/Mon) OVERNIGHT, 1
"RUN" - ?, 1
INDECIPHERABLE LABEL, 1
(FRI/SAT) Overnight, 1
"DEFECTIVE", 1
"9:05" written on right side of label, 1
(SUNDAY) ; additional note that might say "12 (11)" as in "PBS 12" ?, 1
"SUNDAY" ; multiple networks (says "ABC" and also "FOX"), 1
"Fox 29 Sun 9" | "NBC Chris Mat/Meet Press" | "PBS 12 (11) Ethics", 1
"DRAMA - EAST ENDERS", 1
"NBC 10 HB CM Meet Press" | "PBS 12 (11)", 1
10 (9) SUMMER OLYMPICS OPENING, 1
Daily Show ; Overnight, 1
"FOX SUN 9 | NBC 10 (9) Chris / Meet Press | PBS 12 (11)" other notes illegible, 1
"9" written on right side of label, 1
(FRI/SAT) OVERNIGHT ; PRES DEBATE #2, 1
"FOX 29 Sunday | NBC 10 (9) Chris Mat/Meet the Press | PBS 12 11:30", 1
SAT (both networks listed on label, MSNBC starts at 10:10), 1
BRITCOMS May to Dec SAT, 1
WALTON'S 7/7/86 | 7/8/86 | 7/9/86 ; ALL IN THE FAMILY ; "Too Close for comfort 7/11/86" (unclear), 1
THE WALTON'S ; Mortgage B Part 2 - for part 2 see NST 7/25/86, 1
THE WALTON'S 7/21/86 | 7/22/86 | 7/23/86, 1
Second Serve (Renee Richard, Vanessa Redgrave) | Her Pilgrim Soul, 1
Things to Come - HG Wells ; additional note illegible, 1
Strangers & Brothers Part 1, Part 2 (5/12/85), Part 3 (5/19/85), 1
General Hospital 12/18/86 | 12/19/86 | 12/22/86, 1
DYNASTY 9/17/86 | SUNDAY 9/28/86, 1
WALTONS 7/29/86 | 7/30/86 | 7/31/86, 1
MAPP & LUCIA I 6/14/86 | II 6/21/86 | III 6/28/86 | IV 7/5/86, 1
WALTONS ; ACTRESS 8/28/85, 1
WALTONS ; VERDIE'S ROOTS 8/1/86 | THE ORDEAL PT I 8/4/86 | PT II 8/5/86, 1
General Hospital 6/17/86 | 6/18/86 | 6/19/86 | 6/20/86, 1
WALTONS ; Dressmaker Shop 2/29 | Too Close/All In the Family 2/29 |, 1
WALTONS 7/16/86 | 7/17/86 | 7/18/86, 1
WALTONS ; Josh 7/10/86 | 7/11 | BEACH HOUSE 7/15, 1
Drama | American Play Hour 7- -86 Sunday in the park with george Bernadette Peters | Japan | 8/3/86, 1
General Hospital 6/23/86 | 6/24/86 | 6/25/86 | 6/26/86, 1
WALTONS 6/25/86 | 6/26/86 | 6/27/86, 1
THE WALTONS 6/20/86 | 6/23/86 | 6/24/86, 1
General Hospital ; Dynasty 6/10/86 | General Hospital 6/13/86 | Dynasty 1/13/86, 1
General Hospital ; General Hosp 1/16/86 | Dynasty, 1
Drama ; Great Performances ; Heartbreak House - Rex Harrison, 1
Drama ; Fools on the Hill (BBC) 11/16/86 | Gen Hosp 11/21 | Am-- Stories 11/21 |, 1
Drama ; America --- Updike 1/27/86 | Updike | Wonder Works 2/3/86, 1
General Hospital 9/4/85 | 9/5/85 | Hi I'm Robin 9/6/85, 1
Drama ; Whats In A Name 1/27/86 | New "Shuttle ----" 3:00-5:00 PM 1/28/86, 1
